Title,Year,Description,ABI,HBC Cat. No.,Location,Reg. number,Auto/Manual,Eng.Capacity,Fueltype,Odometer Reading,Key,image_urls,link
MERCEDES-BENZ S350 L AMG LINE,Manu: 2014,"This vehicle is Located near Stafford; Pay before Collection,NO PAYMENT AT SITE. When Checked, Ran and Drove. Accident Damage, Power Steering issues, Engine is very noisy and has a rattle",Category N,7227606X,HBC Agent Stafford,YG64YGH,7 Speed Auto,2987 (cc),Diesel,114884,Yes,"https://www.hbc.co.uk/assets/2018/05/18/7227606/img_6ff8pobe_wm.jpg,https://www.hbc.co.uk/assets/2018/05/18/7227606/img_rwvfonuf_wm.jpg,https://www.hbc.co.uk/assets/2018/05/18/7227606/img_m5ywrhei_wm.jpg,https://www.hbc.co.uk/assets/2018/05/18/7227606/img_ulhu1ae8_wm.jpg,https://www.hbc.co.uk/assets/2018/05/18/7227606/img_3qihcvq7_wm.jpg,https://www.hbc.co.uk/assets/2018/05/18/7227606/img_bj91inm3_wm.jpg,https://www.hbc.co.uk/assets/2018/05/18/7227606/img_cv_ile92_wm.jpg,https://www.hbc.co.uk/assets/2018/05/18/7227606/img_a5d42xrv_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7227606/img_yrla_9_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7227606/img_60pj_b_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7227606/img_evvlqc_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7227606/img_829dgt_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7227606/img_uduvdn_wm.jpg,https://www.hbc.co.uk/assets/2018/05/18/7227606/img_47yroeuh_wm.jpg,https://www.hbc.co.uk/assets/2018/05/18/7227606/img__hbn3aym_wm.jpg,https://www.hbc.co.uk/assets/2018/05/18/7227606/img_2n260_ej_wm.jpg,https://www.hbc.co.uk/assets/2018/05/18/7227606/img_hadc57ie_wm.jpg,https://www.hbc.co.uk/assets/2018/05/18/7227606/img_nbcrmkzh_wm.jpg,https://www.hbc.co.uk/assets/2018/05/18/7227606/img_zvyzw6y1_wm.jpg,https://www.hbc.co.uk/assets/2018/05/18/7227606/img_zowpio18_wm.jpg,https://www.hbc.co.uk/assets/2018/05/18/7227606/img_dlktpj4x_wm.jpg,https://www.hbc.co.uk/assets/2018/05/18/7227606/img_iy7t4udk_wm.jpg,https://www.hbc.co.uk/assets/2018/05/18/7227606/img_ayribtxf_wm.jpg,https://www.hbc.co.uk/assets/2018/05/18/7227606/img_nnrikvr5_wm.jpg,https://www.hbc.co.uk/assets/2018/05/18/7227606/img_ffc6jkbk_wm.jpg,https://www.hbc.co.uk/assets/2018/05/18/7227606/img_thloq8ft_wm.jpg,https://www.hbc.co.uk/assets/2018/05/18/7227606/img_sw5y1olj_wm.jpg,https://www.hbc.co.uk/assets/2018/05/18/7227606/img_hz09t81u_wm.jpg",https://www.hbc.co.uk/cgi-bin/zyview/D=vehicles/V=bidding/R=7227606X
CHEVROLET ORLANDO LS VCDI,Manu: 2012,"When Checked, Engine Ran*. Accident Damage",Category S,7556368X,Canvey Island,MW61HZS,6 Speed Manual,1998 (cc),Diesel,53687,Yes,"https://hbcweblive.blob.core.windows.net/assets/7556368/img_kp7jy7_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7556368/img_sluwzl_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7556368/img_7qhe7a_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7556368/img_2iog4t_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7556368/img_h49sdb_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7556368/img_1puc0d_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7556368/img_l47myt_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7556368/img_cfxh8p_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7556368/img_rkknw7_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7556368/img_736ouf_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7556368/img_mtk5ct_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7556368/img_l6zi51_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7556368/img_ipi8n2_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7556368/img_6_es74_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7556368/img_7dl4kq_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7556368/img_x7qb2q_wm.jpg",https://www.hbc.co.uk/cgi-bin/zyview/D=vehicles/V=bidding/R=7556368X
RENAULT KANGOO ML19 DCI,Manu: 2013,Engine Does Not Run. Accident Damage,Category S,7478498X,Canvey Island,RK63WHE,5 Speed Manual,1461 (cc),Diesel,99762,Yes,"https://www.hbc.co.uk/assets/2018/12/04/7478498/img_xvw7qjc9_wm.jpg,https://www.hbc.co.uk/assets/2018/12/04/7478498/img_60fkho89_wm.jpg,https://www.hbc.co.uk/assets/2018/12/04/7478498/img_innwc6vp_wm.jpg,https://www.hbc.co.uk/assets/2018/12/04/7478498/img_dq_zb7ap_wm.jpg,https://www.hbc.co.uk/assets/2018/12/04/7478498/img_k7vkae1x_wm.jpg,https://www.hbc.co.uk/assets/2018/12/04/7478498/img_0r_uatxk_wm.jpg,https://www.hbc.co.uk/assets/2018/12/04/7478498/img_r2n03lj2_wm.jpg,https://www.hbc.co.uk/assets/2018/12/04/7478498/img_x7684swj_wm.jpg,https://www.hbc.co.uk/assets/2018/12/04/7478498/img_ev31iyoe_wm.jpg,https://www.hbc.co.uk/assets/2018/12/04/7478498/img_phwmp_4s_wm.jpg,https://www.hbc.co.uk/assets/2018/12/04/7478498/img_hp7ulari_wm.jpg,https://www.hbc.co.uk/assets/2018/12/04/7478498/img_vts6t7ta_wm.jpg,https://www.hbc.co.uk/assets/2018/12/04/7478498/img_ywdw2m4r_wm.jpg,https://www.hbc.co.uk/assets/2018/12/04/7478498/img_x9hl9f8k_wm.jpg,https://www.hbc.co.uk/assets/2018/12/04/7478498/img_iwht0hyy_wm.jpg,https://www.hbc.co.uk/assets/2018/12/04/7478498/img_kjm5pqu2_wm.jpg,https://www.hbc.co.uk/assets/2018/12/04/7478498/img_wcyr1mru_wm.jpg,https://www.hbc.co.uk/assets/2018/12/04/7478498/img_65s3gvy5_wm.jpg,https://www.hbc.co.uk/assets/2018/12/04/7478498/img_4irbluot_wm.jpg,https://www.hbc.co.uk/assets/2018/12/04/7478498/img_tm48e3oj_wm.jpg",https://www.hbc.co.uk/cgi-bin/zyview/D=vehicles/V=bidding/R=7478498X
RENAULT CLIO EXPRESSION,Manu: 2006,Engine Does Not Run. Accident Damage,Category S,7359136X,Canvey Island,GY56OPX,5 Speed Manual,1461 (cc),Diesel,,Yes,"https://hbcweblive.blob.core.windows.net/assets/7359136/img_3u06rw_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7359136/img_9cavko_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7359136/img_dlrj9l_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7359136/img_t15bsz_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7359136/img_se2ft9_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7359136/img_d313dn_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7359136/img_v7r_u9_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7359136/img_924p_l_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7359136/img_mgkdnu_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7359136/img_r_uy7f_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7359136/img_qw5jrx_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7359136/img_3cko1r_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7359136/img_8oiqul_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7359136/img_sz7yaw_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7359136/img_iw3dy7_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7359136/img_1dmouv_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7359136/img_jy5gpr_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7359136/img_1s7lln_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7359136/img_cscn63_wm.jpg",https://www.hbc.co.uk/cgi-bin/zyview/D=vehicles/V=bidding/R=7359136X
VOLKSWAGEN GOLF S AUTO,Manu: 1998,"When Checked, Ran and Drove. Accident Damage",Category S,7400484X,Canvey Island,S773WOF,4 Speed Auto,1600 (cc),Petrol,42018,Yes,"https://hbcweblive.blob.core.windows.net/assets/7400484/img_n2ssxl_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7400484/img_01ofxy_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7400484/img_2jden5_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7400484/img_umw3od_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7400484/img_4gb3ps_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7400484/img_w8ll_i_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7400484/img_xd5vw7_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7400484/img_q31hhp_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7400484/img_20ggql_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7400484/img_ajpczs_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7400484/img_x4adnb_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7400484/img_awn_6a_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7400484/img_7opi1v_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7400484/img_yg5wjx_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7400484/img_ujpal5_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7400484/img_w_v_h0_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7400484/img_vzej2q_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7400484/img_pyftjb_wm.jpg",https://www.hbc.co.uk/cgi-bin/zyview/D=vehicles/V=bidding/R=7400484X
CITROEN DS4 DSTYLE HDI,Manu: 2013,"When Checked, Ran and Drove. Accident Damage",Category N,7589344X,Canvey Island,YK13NKH,6 Speed Manual,1560 (cc),Diesel,100761,Yes,"https://hbcweblive.blob.core.windows.net/assets/7589344/img_wsygui_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7589344/img_zr7gzs_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7589344/img_6bfg0z_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7589344/img_u1yzg1_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7589344/img_tqdlm0_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7589344/img_140wxm_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7589344/img_3s4_7z_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7589344/img_u_ya1a_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7589344/img_z7brk1_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7589344/img__0m7zs_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7589344/img_1g5pxr_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7589344/img_zechoo_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7589344/img_hvut5i_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7589344/img_kz0rqv_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7589344/img_o4nh2w_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7589344/img_4p5q14_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7589344/img_ns8b2x_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7589344/img_2wcu8a_wm.jpg",https://www.hbc.co.uk/cgi-bin/zyview/D=vehicles/V=bidding/R=7589344X
AUDI A4 SPORT TDI(130,Manu: 2003,"When Checked, Ran and Drove. Accident Damage",Category N,7832074X,Canvey Island,GR03HRM,Variable 1 Speed Auto,1896 (cc),Diesel,209726,Yes,"https://hbcweblive.blob.core.windows.net/assets/7832074/img_kmsiso3b_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7832074/img_jp98phbn_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7832074/img_quj0ktbc_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7832074/img_j_wqsui8_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7832074/img_i828l5wc_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7832074/img_6adq5zoo_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7832074/img_v86l_e7v_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7832074/img_rcb38f4s_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7832074/img_sdf5wsxv_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7832074/img_m4iexogv_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7832074/img_fs4df3jq_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7832074/img_273g07za_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7832074/img_gnu7ej7d_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7832074/img_892i6_3t_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7832074/img_wuz9ul3k_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7832074/img_kjwg61es_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7832074/img_xtikgzqg_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7832074/img_zfm66ylv_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7832074/img_x7pjwi1y_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7832074/img_tnv6qy6a_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7832074/img_mtybowtc_wm.jpg",https://www.hbc.co.uk/cgi-bin/zyview/D=vehicles/V=bidding/R=7832074X
PEUGEOT 508 ACTIVE BLUE HDI,2015,ABI,,7495971X,Canvey Island,CN65UNE,,1560 (cc),DIESEL,2015,Yes,"https://www.hbc.co.ukhttps://vis.iaai.com/resizer?imageKeys=90316873~SID~B1~S0~I1&width=640&height=480/IMG_5963.JPG,https://www.hbc.co.ukhttps://vis.iaai.com/resizer?imageKeys=90316873~SID~B1~S0~I2&width=640&height=480/IMG_5946.JPG,https://www.hbc.co.ukhttps://vis.iaai.com/resizer?imageKeys=90316873~SID~B1~S0~I3&width=640&height=480/IMG_5947.JPG,https://www.hbc.co.ukhttps://vis.iaai.com/resizer?imageKeys=90316873~SID~B1~S0~I4&width=640&height=480/IMG_5948.JPG,https://www.hbc.co.ukhttps://vis.iaai.com/resizer?imageKeys=90316873~SID~B1~S0~I5&width=640&height=480/IMG_5949.JPG,https://www.hbc.co.ukhttps://vis.iaai.com/resizer?imageKeys=90316873~SID~B1~S0~I6&width=640&height=480/IMG_5950.JPG,https://www.hbc.co.ukhttps://vis.iaai.com/resizer?imageKeys=90316873~SID~B1~S0~I7&width=640&height=480/IMG_5951.JPG,https://www.hbc.co.ukhttps://vis.iaai.com/resizer?imageKeys=90316873~SID~B1~S0~I8&width=640&height=480/IMG_5952.JPG,https://www.hbc.co.ukhttps://vis.iaai.com/resizer?imageKeys=90316873~SID~B1~S0~I9&width=640&height=480/IMG_5953.JPG,https://www.hbc.co.ukhttps://vis.iaai.com/resizer?imageKeys=90316873~SID~B1~S0~I10&width=640&height=480/IMG_5954.JPG,https://www.hbc.co.ukhttps://vis.iaai.com/resizer?imageKeys=90316873~SID~B1~S0~I11&width=640&height=480/IMG_5955.JPG,https://www.hbc.co.ukhttps://vis.iaai.com/resizer?imageKeys=90316873~SID~B1~S0~I12&width=640&height=480/IMG_5956.JPG,https://www.hbc.co.ukhttps://vis.iaai.com/resizer?imageKeys=90316873~SID~B1~S0~I13&width=640&height=480/IMG_5957.JPG,https://www.hbc.co.ukhttps://vis.iaai.com/resizer?imageKeys=90316873~SID~B1~S0~I14&width=640&height=480/IMG_5958.JPG,https://www.hbc.co.ukhttps://vis.iaai.com/resizer?imageKeys=90316873~SID~B1~S0~I15&width=640&height=480/IMG_5959.JPG",https://www.hbc.co.uk/cgi-bin/zyview/D=vehicles/V=bidding/R=7495971X
Bailey Ranger,-,"This vehicle is Located near Stafford; Pay before Collection,NO PAYMENT AT SITE. Stolen Recovered",,7754401,HBC Agent Stafford,7754401Z,,,,,No,"https://hbcweblive.blob.core.windows.net/assets/7754401/img_4_qo6q_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7754401/img_2c91c1_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7754401/img_cs_x6o_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7754401/img_vh0_u8_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7754401/img_kumc24_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7754401/img_tot7e9_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7754401/img_t2inkr_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7754401/img_f7iosh_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7754401/img__e9y5i_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7754401/img_xxy83t_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7754401/img_pcm5km_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7754401/img_o1v15f_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7754401/img_u3i5an_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7754401/img_3giyoz_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7754401/img_3ujvhu_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7754401/img_wxjnl9_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7754401/img_z0zj9l_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7754401/img_u44o_z_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7754401/img_pmfjuz_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7754401/img_ogit1b_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7754401/img_xk563f_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7754401/img_zqrz9h_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7754401/img_qobraw_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7754401/img_pv296d_wm.jpg",https://www.hbc.co.uk/cgi-bin/zyview/D=vehicles/V=bidding/R=7754401
MINI COOPER,Manu: 2010,"This vehicle is Located near Stafford; Pay before Collection,NO PAYMENT AT SITE. When Checked, Ran and Drove. Accident Damage",Category N,7771918X,HBC Agent Stafford,WP10YPW,6 Speed M,1598 (cc),Petrol,77785,Yes,"https://hbcweblive.blob.core.windows.net/assets/7771918/img_hu2e64l1_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7771918/img_6yn591ep_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7771918/img_oxyfq2v0_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7771918/img_cd4qxzua_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7771918/img_uf1z4t17_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7771918/img_gomm7trl_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7771918/img_m5j6kdsb_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7771918/img_px49fsz8_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7771918/img_qq1nxl_h_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7771918/img_np94_fy1_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7771918/img_cz8bbuvu_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7771918/img_vpuhaecx_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7771918/img_31sqmrpt_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7771918/img_62xwp71b_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7771918/img_tjiqlks8_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7771918/img_6qwbu_wk_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7771918/img_ak9uol79_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7771918/img_yg98unwb_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7771918/img_pd4x79n4_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7771918/img_0cwdnbhz_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7771918/img_bhzm0_jl_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7771918/img_3fm0tkgg_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7771918/img_c8q4p8h__wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7771918/img_ihm00b_e_wm.jpg",https://www.hbc.co.uk/cgi-bin/zyview/D=vehicles/V=bidding/R=7771918X
VAUXHALL ASTRA SRI AUTO,Manu: 2013,"When Checked, Ran and Drove. Accident Damage",Category N,7728082,Canvey Island,NK63THF,6 Speed Auto,1598 (cc),Petrol,13452,Yes,"https://hbcweblive.blob.core.windows.net/assets/7728082/img_1kc317_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7728082/img_gaq4x6_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7728082/img_z3nuek_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7728082/img_zq1p4v_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7728082/img_l0t10d_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7728082/img_s0smc1_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7728082/img_dbpewo_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7728082/img_29xorj_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7728082/img_zdsnlj_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7728082/img_bfp6vz_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7728082/img_9qxmfn_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7728082/img__1g_k__wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7728082/img_s3koda_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7728082/img_tx9j6q_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7728082/img_o2b4j5_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7728082/img_i4x68__wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7728082/img_ms_9ak_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7728082/img_8sfmo0_wm.jpg",https://www.hbc.co.uk/cgi-bin/zyview/D=vehicles/V=bidding/R=7728082
